wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,key_plot_id,county_names,county_fips,population_served,date_start,date_end,detect_prop_15d,percentile,sampling_prior,first_sample_date,ptc_15d,sample_location_specify
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-22,2023-09-05,100,88.0,no,2023-06-21,-55,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-23,2023-09-06,100,88.0,no,2023-06-21,-43,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-24,2023-09-07,100,88.0,no,2023-06-21,-43,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-25,2023-09-08,100,88.0,no,2023-06-21,-43,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-26,2023-09-09,100,88.0,no,2023-06-21,-43,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-27,2023-09-10,100,73.75,no,2023-06-21,-66,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-28,2023-09-11,100,73.75,no,2023-06-21,-68,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-29,2023-09-12,100,64.25,no,2023-06-21,-56,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-30,2023-09-13,100,64.25,no,2023-06-21,-63,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-31,2023-09-14,100,64.25,no,2023-06-21,-63,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-01,2023-09-15,100,64.25,no,2023-06-21,-63,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-02,2023-09-16,100,64.25,no,2023-06-21,-63,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-03,2023-09-17,100,64.25,no,2023-06-21,-63,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-04,2023-09-18,100,64.25,no,2023-06-21,-63,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-05,2023-09-19,100,64.25,no,2023-06-21,-63,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-06,2023-09-20,100,64.25,no,2023-06-21,2149,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-07,2023-09-21,100,64.25,no,2023-06-21,2149,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-08,2023-09-22,100,64.25,no,2023-06-21,2149,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-09,2023-09-23,100,64.25,no,2023-06-21,2149,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-10,2023-09-24,100,64.25,no,2023-06-21,2149,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-09-11,2023-09-25,100,64.25,no,2023-06-21,,
